episode,reward,avg_reward_100,epsilon
437.0,146.2147232287474,27.45783023811651,0.26821270151351667
438.0,188.85599978457168,29.133148194920874,0.2674080634089761
439.0,148.99335195724652,30.81428707761012,0.2666058392187492
440.0,120.39079697758157,31.93401561010327,0.26580602170109296
441.0,120.84456741488123,32.84045280839704,0.26500860363598966
442.0,-2.7725382160434293,32.887721090172015,0.2642135778250817
443.0,157.92228915618213,34.629034249971966,0.26342093709160647
444.0,-7.355034324643441,34.05742235375575,0.26263067428033166
445.0,267.06700251188795,36.83937248007613,0.26184278225749064
446.0,-29.89414704695244,36.180601304924814,0.26105725391071816
447.0,264.7313907444326,38.42870794886722,0.260274082148986
448.0,49.18328951225858,39.21502361706749,0.2594932599025391
449.0,-24.366884368610116,38.96471943321106,0.25871478012283144
450.0,-7.866725052446526,39.382491250840665,0.25793863578246295
451.0,-26.259900335421662,39.09892272191382,0.2571648198751156
452.0,123.91344661197297,40.47289324684842,0.25639332541549026
453.0,2.626804517815984,40.26086217785689,0.2556241454392438
454.0,188.03644951008806,42.352486641932536,0.25485727300292604
455.0,-25.574014061855166,41.63140560115487,0.25409270118391725
